date,title,volume,authors,type,abstract,method,keyword
10 March 2022,Precision measurement of cardiac structure and function in cardiovascular magnetic resonance using machine learning,"Volume 24, article number 16, (2022)","Rhodri H. Davies1,2,3, João B. Augusto1,2, Anish Bhuva1,2, Hui Xue4, Thomas A. Treibel1,2, Yang Ye2, Rebecca K. Hughes1,2, Wenjia Bai5, Clement Lau2,6, Hunain Shiwani1,2, Marianna Fontana1,7, Rebecca Kozor8, Anna Herrey2, Luis R. Lopes1,2, Viviana Maestrini9, Stefania Rosmini1,2, Steffen E. Petersen2,6, Peter Kellman4, Daniel Rueckert10, John P. Greenwood11, Gabriella Captur1,3, Charlotte Manisty1,2, Erik Schelbert12,13 & …James C. Moon 
            ORCID: orcid.org/0000-0001-8071-14911,2 Show authors
                        
    


                        
                            
        
                    9795 Accesses
                
            
            
            
                
                    
                        301 
                                Altmetric
                                
                    
                
            
            
                
                    36 Mentions
                
            
            
                
                    
                        Explore all metrics",Research,"Measurement of cardiac structure and function from images (e.g. volumes, mass and derived parameters such as left ventricular (LV) ejection fraction [LVEF]) guides care for millions. This is best assessed using cardiovascular magnetic resonance (CMR), but image analysis is currently performed by individual clinicians, which introduces error. We sought to develop a machine learning algorithm for volumetric analysis of CMR images with demonstrably better precision than human analysis.","A fully automated machine learning algorithm was trained on 1923 scans (10 scanner models, 13 institutions, 9 clinical conditions, 60,000 contours) and used to segment the LV blood volume and myocardium. Performance was quantified by measuring precision on an independent multi-site validation dataset with multiple pathologies with n = 109 patients, scanned twice. This dataset was augmented with a further 1277 patients scanned as part of routine clinical care to allow qualitative assessment of generalization ability by identifying mis-segmentations. Machine learning algorithm (‘machine’) performance was compared to three clinicians (‘human’) and a commercial tool (cvi42, Circle Cardiovascular Imaging).",machine learning
27 February 2023,A deep learning approach for fully automated cardiac shape modeling in tetralogy of Fallot,"Volume 25, article number 15, (2023)","Sachin Govil1 na1, Brendan T. Crabb1 na1, Yu Deng2, Laura Dal Toso2, Esther Puyol-Antón2, Kuberan Pushparajah2, Sanjeet Hegde3,4, James C. Perry3,4, Jeffrey H. Omens1, Albert Hsiao5, Alistair A. Young2 & …Andrew D. McCulloch 
            ORCID: orcid.org/0000-0002-1708-56751 Show authors
                        
    


                        
                            
        
                    4644 Accesses
                
            
            
            
                
                    
                        3 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Technical notes,"Cardiac shape modeling is a useful computational tool that has provided quantitative insights into the mechanisms underlying dysfunction in heart disease. The manual input and time required to make cardiac shape models, however, limits their clinical utility. Here we present an end-to-end pipeline that uses deep learning for automated view classification, slice selection, phase selection, anatomical landmark localization, and myocardial image segmentation for the automated generation of three-dimensional, biventricular shape models. With this approach, we aim to make cardiac shape modeling a more robust and broadly applicable tool that has processing times consistent with clinical workflows.","Cardiovascular magnetic resonance (CMR) images from a cohort of 123 patients with repaired tetralogy of Fallot (rTOF) from two internal sites were used to train and validate each step in the automated pipeline. The complete automated pipeline was tested using CMR images from a cohort of 12 rTOF patients from an internal site and 18 rTOF patients from an external site. Manually and automatically generated shape models from the test set were compared using Euclidean projection distances, global ventricular measurements, and atlas-based shape mode scores.",machine learning
27 June 2022,Radiomics and deep learning for myocardial scar screening in hypertrophic cardiomyopathy,"Volume 24, article number 40, (2022)","Ahmed S. Fahmy 
            ORCID: orcid.org/0000-0003-1992-68931, Ethan J. Rowin2, Arghavan Arafati1, Talal Al-Otaibi1, Martin S. Maron2 & …Reza Nezafat1 Show authors
                        
    


                        
                            
        
                    6182 Accesses
                
            
            
            
                
                    
                        2 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,"Myocardial scar burden quantified using late gadolinium enhancement (LGE) cardiovascular magnetic resonance (CMR), has important prognostic value in hypertrophic cardiomyopathy (HCM). However, nearly 50% of HCM patients have no scar but undergo repeated gadolinium-based CMR over their life span. We sought to develop an artificial intelligence (AI)-based screening model using radiomics and deep learning (DL) features extracted from balanced steady state free precession (bSSFP) cine sequences to identify HCM patients without scar.","We evaluated three AI-based screening models using bSSFP cine image features extracted by radiomics, DL, or combined DL-Radiomics. Images for 759 HCM patients (50 ± 16 years, 66% men) in a multi-center/vendor study were used to develop and test model performance. An external dataset of 100 HCM patients (53 ± 14 years, 70% men) was used to assess model generalizability. Model performance was evaluated using area-under-receiver-operating curve (AUC).",machine learning
20 June 2022,Highlights of the Virtual Society for Cardiovascular Magnetic Resonance 2022 Scientific Conference: CMR: improving cardiovascular care around the world,"Volume 24, article number 38, (2022)","Vineeta Ojha 
            ORCID: orcid.org/0000-0003-4371-56151, Omar K. Khalique2, Rishabh Khurana1, Daniel Lorenzatti3, Steve W. Leung4, Benny Lawton5, Timothy C. Slesnick6, Joao C. Cavalcante7, Chiara Bucciarelli Ducci8, Amit R. Patel9, Claudia C. Prieto10, Sven Plein11, Subha V. Raman12, Michael Salerno13 & …Purvi Parwani14 Show authors
                        
    


                        
                            
        
                    4494 Accesses
                
            
            
            
                
                    
                        3 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics 
                    
                
            
        
                        
                        
    
    

    
        
            
                This article has been updated",Review,NA,NA,machine learning
07 December 2020,Deep learning to diagnose cardiac amyloidosis from cardiovascular magnetic resonance,"Volume 22, article number 84, (2020)","Nicola Martini 
            ORCID: orcid.org/0000-0003-3008-01631, Alberto Aimo2,3, Andrea Barison2,3, Daniele Della Latta1, Giuseppe Vergaro2,3, Giovanni Donato Aquaro3, Andrea Ripoli1, Michele Emdin2,3 & …Dante Chiappino1 Show authors
                        
    


                        
                            
        
                    6667 Accesses
                
            
            
            
                
                    
                        8 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,Cardiovascular magnetic resonance (CMR) is part of the diagnostic work-up for cardiac amyloidosis (CA). Deep learning (DL) is an application of artificial intelligence that may allow to automatically analyze CMR findings and establish the likelihood of CA.,"1.5 T CMR was performed in 206 subjects with suspected CA (n = 100, 49% with unexplained left ventricular (LV) hypertrophy; n = 106, 51% with blood dyscrasia and suspected light-chain amyloidosis). Patients were randomly assigned to the training (n = 134, 65%), validation (n = 30, 15%), and testing subgroups (n = 42, 20%). Short axis, 2-chamber, 4-chamber late gadolinium enhancement (LGE) images were evaluated by 3 networks (DL algorithms). The tags “amyloidosis present” or “absent” were attributed when the average probability of CA from the 3 networks was ≥ 50% or < 50%, respectively. The DL strategy was compared to a machine learning (ML) algorithm considering all manually extracted features (LV volumes, mass and function, LGE pattern, early blood-pool darkening, pericardial and pleural effusion, etc.), to reproduce exam reading by an experienced operator.",machine learning
07 October 2019,Machine learning in cardiovascular magnetic resonance: basic concepts and applications,"Volume 21, article number 61, (2019)","Tim Leiner 
            ORCID: orcid.org/0000-0003-1885-54991, Daniel Rueckert2, Avan Suinesiaputra3, Bettina Baeßler4,5, Reza Nezafat6, Ivana Išgum7 & …Alistair A. Young3,8 Show authors
                        
    


                        
                            
        
                    27k Accesses
                
            
            
            
                
                    
                        49 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Review,NA,NA,machine learning
07 November 2022,Automatic segmentation of the great arteries for computational hemodynamic assessment,"Volume 24, article number 57, (2022)","Javier Montalt-Tordera1 na1, Endrit Pajaziti1 na1, Rod Jones2, Emilie Sauvage1, Rajesh Puranik3,4, Aakansha Ajay Vir Singh3,4, Claudio Capelli1, Jennifer Steeden1, Silvia Schievano1 & …Vivek Muthurangu 
            ORCID: orcid.org/0000-0002-4292-64561 Show authors
                        
    


                        
                            
        
                    3769 Accesses
                
            
            
            
                
                    
                        1 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,"Computational fluid dynamics (CFD) is increasingly used for the assessment of blood flow conditions in patients with congenital heart disease (CHD). This requires patient-specific anatomy, typically obtained from segmented 3D cardiovascular magnetic resonance (CMR) images. However, segmentation is time-consuming and requires expert input. This study aims to develop and validate a machine learning (ML) method for segmentation of the aorta and pulmonary arteries for CFD studies.","90 CHD patients were retrospectively selected for this study. 3D CMR images were manually segmented to obtain ground-truth (GT) background, aorta and pulmonary artery labels. These were used to train and optimize a U-Net model, using a 70-10-10 train-validation-test split. Segmentation performance was primarily evaluated using Dice score. CFD simulations were set up from GT and ML segmentations using a semi-automatic meshing and simulation pipeline. Mean pressure and velocity fields across 99 planes along the vessel centrelines were extracted, and a mean average percentage error (MAPE) was calculated for each vessel pair (ML vs GT). A second observer (SO) segmented the test dataset for assessment of inter-observer variability. Friedman tests were used to compare ML vs GT, SO vs GT and ML vs SO metrics, and pressure/velocity field errors.",machine learning
06 January 2022,Accelerated cardiac T1 mapping in four heartbeats with inline MyoMapNet: a deep learning-based T1 estimation approach,"Volume 24, article number 6, (2022)","Rui Guo 
            ORCID: orcid.org/0000-0002-5188-62811, Hossam El-Rewaidy1, Salah Assana1, Xiaoying Cai1,2, Amine Amyar1, Kelvin Chow3, Xiaoming Bi3, Tuyen Yankama1, Julia Cirillo1, Patrick Pierce1, Beth Goddu1, Long Ngo1 & …Reza Nezafat1 Show authors
                        
    


                        
                            
        
                    5969 Accesses
                
            
            
            
                
                    
                        5 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,"To develop and evaluate MyoMapNet, a rapid myocardial T1 mapping approach that uses fully connected neural networks (FCNN) to estimate T1 values from four T1-weighted images collected after a single inversion pulse in four heartbeats (Look-Locker, LL4).","We implemented an FCNN for MyoMapNet to estimate T1 values from a reduced number of T1-weighted images and corresponding inversion-recovery times. We studied MyoMapNet performance when trained using native, post-contrast T1, or a combination of both. We also explored the effects of number of T1-weighted images (four and five) for native T1. After rigorous training using in-vivo modified Look-Locker inversion recovery (MOLLI) T1 mapping data of 607 patients, MyoMapNet performance was evaluated using MOLLI T1 data from 61 patients by discarding the additional T1-weighted images. Subsequently, we implemented a prototype MyoMapNet and LL4 on a 3 T scanner. LL4 was used to collect T1 mapping data in 27 subjects with inline T1 map reconstruction by MyoMapNet. The resulting T1 values were compared to MOLLI.",machine learning
11 March 2021,Fully-automated global and segmental strain analysis of DENSE cardiovascular magnetic resonance using deep learning for segmentation and phase unwrapping,"Volume 23, article number 20, (2021)","Sona Ghadimi1, Daniel A. Auger1, Xue Feng1, Changyu Sun1, Craig H. Meyer1, Kenneth C. Bilchick2, Jie Jane Cao3, Andrew D. Scott4, John N. Oshinski5, Daniel B. Ennis6 & …Frederick H. Epstein 
            ORCID: orcid.org/0000-0002-1954-19881 Show authors
                        
    


                        
                            
        
                    5090 Accesses
                
            
            
            
                
                    
                        5 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,"Cardiovascular magnetic resonance (CMR) cine displacement encoding with stimulated echoes (DENSE) measures heart motion by encoding myocardial displacement into the signal phase, facilitating high accuracy and reproducibility of global and segmental myocardial strain and providing benefits in clinical performance. While conventional methods for strain analysis of DENSE images are faster than those for myocardial tagging, they still require manual user assistance. The present study developed and evaluated deep learning methods for fully-automatic DENSE strain analysis.","Convolutional neural networks (CNNs) were developed and trained to (a) identify the left-ventricular (LV) epicardial and endocardial borders, (b) identify the anterior right-ventricular (RV)-LV insertion point, and (c) perform phase unwrapping. Subsequent conventional automatic steps were employed to compute strain. The networks were trained using 12,415 short-axis DENSE images from 45 healthy subjects and 19 heart disease patients and were tested using 10,510 images from 25 healthy subjects and 19 patients. Each individual CNN was evaluated, and the end-to-end fully-automatic deep learning pipeline was compared to conventional user-assisted DENSE analysis using linear correlation and Bland Altman analysis of circumferential strain.",machine learning
07 January 2019,Machine learning derived segmentation of phase velocity encoded cardiovascular magnetic resonance for fully automated aortic flow quantification,"Volume 21, article number 1, (2019)","Alex Bratt1, Jiwon Kim1,2, Meridith Pollie2, Ashley N. Beecy2, Nathan H. Tehrani2, Noel Codella3, Rocio Perez-Johnston4, Maria Chiara Palumbo2, Javid Alakbarli2, Wayne Colizza1, Ian R. Drexler1, Clerio F. Azevedo5, Raymond J. Kim5, Richard B. Devereux2 & …Jonathan W. Weinsaft 
            ORCID: orcid.org/0000-0002-8386-02971,2,4,6 Show authors
                        
    


                        
                            
        
                    6944 Accesses
                
            
            
            
                
                    
                        17 
                                Altmetric
                                
                    
                
            
            
            
                
                    
                        Explore all metrics",Research,"Phase contrast (PC) cardiovascular magnetic resonance (CMR) is widely employed for flow quantification, but analysis typically requires time consuming manual segmentation which can require human correction. Advances in machine learning have markedly improved automated processing, but have yet to be applied to PC-CMR. This study tested a novel machine learning model for fully automated analysis of PC-CMR aortic flow.",A machine learning model was designed to track aortic valve borders based on neural network approaches. The model was trained in a derivation cohort encompassing 150 patients who underwent clinical PC-CMR then compared to manual and commercially-available automated segmentation in a prospective validation cohort. Further validation testing was performed in an external cohort acquired from a different site/CMR vendor.,machine learning
